종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"478390","KB제29호스팩","KOSDAQ","SPAC(소속부없음)","2060","-10","-0.48","2070","2070","2050","9605","19715075","12813200000","6220000"
"486630","KB제30호스팩","KOSDAQ","SPAC(소속부없음)","2030","-5","-0.25","2035","2035","2030","101","205150","10779300000","5310000"
"492220","KB제31호스팩","KOSDAQ","SPAC(소속부없음)","2005","6","0.30","2005","2010","2000","23494","47038390","12451050000","6210000"
"0037T0","KB제32호스팩","KOSDAQ","SPAC(소속부없음)","1997","1","0.05","1997","1998","1997","8126","16233284","12641010000","6330000"
"0072Z0","KB제33호스팩","KOSDAQ","SPAC(소속부없음)","1986","-2","-0.10","1987","1990","1984","30450","60512714","15659610000","7885000"
"002380","KCC","KOSPI",,"416000","0","0.00","424500","424500","414000","9660","4026303750","3696771936000","8886471"
"021320","KCC건설","KOSDAQ","우량기업부","5620","-110","-1.92","5740","5840","5570","34479","195366650","120268000000","21400000"
"344820","KCC글라스","KOSPI",,"26800","0","0.00","26850","27000","26700","7715","206780800","428009721600","15970512"
"009070","KCTC","KOSPI",,"6470","170","2.70","6350","6630","6320","743843","4814995100","194100000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"756","0","0.00","0","0","0","0","0","17568790596","23239141"
"112190","KC산업","KONEX","일반기업부","1760","1","0.06","1799","1800","1700","5004","8650129","15930075040","9051179"
"119650","KC코트렐","KOSPI",,"918","0","0.00","0","0","0","0","0","100782913662","109785309"
"044180","KD","KOSDAQ","중견기업부","599","1","0.17","600","614","599","216693","131101696","16003961601","26717799"
"092220","KEC","KOSPI",,"703","23","3.38","680","704","680","553919","385192503","141136488123","200763141"
"046440","KG모빌리언스","KOSDAQ","우량기업부","4940","40","0.82","4920","4980","4920","60922","301263879","187773361880","38010802"
"003620","KG모빌리티","KOSPI",,"3710","125","3.49","3640","3750","3615","245050","906320940","750810923520","202374912"
"016380","KG스틸","KOSPI",,"5480","60","1.11","5460","5520","5430","68604","376340495","548048755560","100008897"
"151860","KG에코솔루션","KOSDAQ","우량기업부","6150","100","1.65","6130","6260","6070","77274","477486870","292758462300","47603002"
"035600","KG이니시스","KOSDAQ","우량기업부","10750","20","0.19","10830","10880","10680","88727","955758310","296210165500","27554434"
"001390","KG케미칼","KOSPI",,"5890","220","3.88","5710","5910","5710","274282","1602666875","396002546700","67233030"
"226360","KH 건설","KOSDAQ","투자주의환기종목(소속부없음)","2555","0","0.00","0","0","0","0","0","67617390260","26464732"
"111870","KH 미래물산","KOSDAQ","관리종목(소속부없음)","8910","0","0.00","0","0","0","0","0","62746456410","7042251"
"033180","KH 필룩스","KOSPI",,"5310","0","0.00","0","0","0","0","0","138166306200","26020020"
"060720","KH바텍","KOSDAQ","벤처기업부","11620","270","2.38","11360","11840","11360","35803","415047425","275131876040","23677442"
"001940","KISCO홀딩스","KOSPI",,"26350","0","0.00","26750","26750","26000","2835","74281500","373547613000","14176380"
"058400","KNN","KOSDAQ","우량기업부","706","2","0.28","705","708","703","56065","39511362","93495382320","132429720"
"025000","KPX케미칼","KOSPI",,"52900","0","0.00","0","0","0","0","0","256036000000","4840000"
"092230","KPX홀딩스","KOSPI",,"75500","-800","-1.05","76300","76800","75500","993","75567200","318960773000","4224646"
"000040","KR모터스","KOSPI",,"483","-6","-1.23","489","495","480","78143","37997518","41719213872","86375184"
"044450","KSS해운","KOSPI",,"9510","-40","-0.42","9550","9590","9500","30765","293024835","219546718800","23085880"
"101000","KS인더스트리","KOSDAQ","중견기업부","756","-2","-0.26","758","778","747","212885","161533994","25285782312","33446802"
"030200","KT","KOSPI",,"53600","-200","-0.37","53600","54000","53500","169848","9128044050","13508362316000","252021685"
"033780","KT&G","KOSPI",,"144500","-2200","-1.50","148000","148000","144500","119179","17343597300","17047625202500","117976645"
"058850","KTcs","KOSPI",,"2985","90","3.11","2915","3000","2915","657555","1955603729","127414725000","42685000"
"058860","KTis","KOSPI",,"2845","20","0.71","2830","2855","2830","164334","467102227","99011690000","34802000"
"089600","KT나스미디어","KOSDAQ","우량기업부","13520","180","1.35","13370","13540","13360","8909","120040530","156401563760","11568163"
"418470","KT밀리의서재","KOSDAQ","중견기업부","14010","30","0.21","14070","14070","13880","5000","69734310","120006703890","8565789"
"043610","KT지니뮤직","KOSDAQ","우량기업부","1919","-4","-0.21","1923","1955","1915","34101","65832965","111523525522","58115438"
"122450","KX","KOSDAQ","중견기업부","3860","80","2.12","3785","3865","3785","36983","142031886","173004559240","44819834"
"052900","KX하이텍","KOSDAQ","우량기업부","907","10","1.11","901","908","900","25441","23005925","59294631592","65374456"
"036560","KZ정밀","KOSDAQ","우량기업부","15970","110","0.69","15870","16290","15870","14921","240083730","251527500000","15750000"
"061970","LB세미콘","KOSDAQ","중견기업부","4135","215","5.48","3920","4160","3920","160612","653599921","240173229810","58083006"
"309960","LB인베스트먼트","KOSDAQ","벤처기업부","6420","-260","-3.89","6830","7100","6240","800976","5251639745","149054674380","23217239"
"093050","LF","KOSPI",,"18980","60","0.32","18900","19040","18730","33772","639372670","554975200000","29240000"
"003550","LG","KOSPI",,"82300","600","0.73","82400","82700","81900","72937","5998399350","12692436445500","154221585"
"034220","LG디스플레이","KOSPI",,"11770","-200","-1.67","12040","12050","11750","1177166","13936451330","5885000000000","500000000"
"051900","LG생활건강","KOSPI",,"263000","-1000","-0.38","264500","265000","262500","19868","5229270500","4024546717000","15302459"
"051905","LG생활건강우","KOSPI",,"114400","100","0.09","114500","114900","113900","1375","157440450","240205336800","2099697"
"064400","LG씨엔에스","KOSPI",,"64100","-400","-0.62","65000","65000","63800","324761","20894640450","6210389266800","96885948"
"373220","LG에너지솔루션","KOSPI",,"390500","11500","3.03","385000","391500","380000","191910","74299787750","91377000000000","234000000"
"003555","LG우","KOSPI",,"67400","100","0.15","67300","67900","66500","5386","362564000","202954812600","3011199"
"032640","LG유플러스","KOSPI",,"15340","210","1.39","15160","15350","15060","262691","3996567075","6593566965700","429828355"
"011070","LG이노텍","KOSPI",,"277500","-3500","-1.25","284500","285000","275000","59194","16443257250","6567622192500","23667107"
"066570","LG전자","KOSPI",,"93900","-400","-0.42","94800","94900","93000","261876","24578329550","15295031739300","162886387"
"066575","LG전자우","KOSPI",,"49550","-150","-0.30","50500","50500","49500","31249","1553724500","851565903600","17185992"
"037560","LG헬로비전","KOSPI",,"2405","-5","-0.21","2410","2415","2395","43700","105065931","186259710325","77446865"
"051910","LG화학","KOSPI",,"348000","9500","2.81","343000","351000","339000","93578","32485232000","24566135364000","70592343"
"051915","LG화학우","KOSPI",,"176900","4600","2.67","174400","178400","172500","18277","3217017850","1360148720000","7688800"
"079550","LIG넥스원","KOSPI",,"416500","500","0.12","425000","427000","413000","75299","31488736250","9163000000000","22000000"
"225190","LK삼양","KOSDAQ","중견기업부","1485","111","8.08","1423","1597","1380","19734286","29770516649","104645633400","70468440"
"006260","LS","KOSPI",,"186900","1200","0.65","188700","189700","184500","45593","8494991900","5924730000000","31700000"
"010120","LS ELECTRIC","KOSPI",,"473000","2000","0.42","482500","490000","470000","68056","32566770500","14190000000000","30000000"
"000680","LS네트웍스","KOSPI",,"3340","10","0.30","3360","3390","3325","47708","159852070","263202073440","78803016"
"060370","LS마린솔루션","KOSDAQ","우량기업부","31500","50","0.16","32000","32050","31350","186431","5894856000","1645523901000","52238854"
"417200","LS머트리얼즈","KOSDAQ","중견기업부","13530","1220","9.91","12920","14030","12900","1588351","21523780760","915340476270","67652659"
